domain,skill_uri,skill_label,capability_family,trend_score,trend_label,months_observed,total_monthly_mentions,gap_score,demand_count,supply_count,course_count,future_risk_score,risk_quadrant
Education,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,selling products or services,0.313333,rising,4,4,0.137931,4,0,0,0.043218334022999995,emerging signal
Education,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,performing general clerical and administrative tasks,0.293333,rising,4,4,0.137931,4,0,0,0.040459714023,emerging signal
Education,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,developing professional relationships or networks,0.293333,rising,4,4,0.137931,4,0,0,0.040459714023,emerging signal
Education,http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,make reservations,accompanying and welcoming people,0.293333,rising,4,4,0.137931,4,0,0,0.040459714023,emerging signal
Education,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,entering and transforming information,0.188889,rising,4,5,0.172414,5,0,0,0.032567108046,emerging signal
Healthcare,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,selling products or services,0.184762,rising,6,4,0.166667,4,0,1,0.030793728254000004,emerging signal
Tourism,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,selling products or services,0.13,rising,5,5,0.208333,5,0,3,0.02708329,emerging signal
Tourism,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,performing general clerical and administrative tasks,0.128889,rising,5,4,0.166667,4,0,0,0.021481542963000002,emerging signal
Tourism,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,developing professional relationships or networks,0.128889,rising,5,4,0.166667,4,0,0,0.021481542963000002,emerging signal
Healthcare,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,developing professional relationships or networks,0.123175,rising,6,4,0.166667,4,0,0,0.020529207725,emerging signal
Healthcare,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,performing general clerical and administrative tasks,0.123175,rising,6,4,0.166667,4,0,0,0.020529207725,emerging signal
Education,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,resolving computer problems,0.084444,rising,4,6,0.206897,6,0,0,0.017471210268,emerging signal
Healthcare,http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,make reservations,accompanying and welcoming people,0.050159,rising,6,5,0.208333,5,0,0,0.010449774947,emerging signal
Healthcare,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,entering and transforming information,0.050159,rising,6,5,0.208333,5,0,0,0.010449774947,emerging signal
Tourism,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,entering and transforming information,0.044444,stable,5,5,0.208333,5,0,0,0.009259151851999999,monitor
Tourism,http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,make reservations,accompanying and welcoming people,0.044444,stable,5,5,0.208333,5,0,0,0.009259151851999999,monitor
IT,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs,engaging with others to identify needs,-0.219048,cooling,6,6,0.166667,6,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,ensure compliance with company regulations,ensuring compliance with legislation,-0.219048,cooling,6,6,0.166667,6,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",-0.219048,cooling,6,11,0.305556,11,0,1,0.0,current shortage
IT,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",-0.219048,cooling,6,9,0.228261,9,1,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8,prospect new customers,developing professional relationships or networks,-0.219048,cooling,6,6,0.166667,6,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,-0.219048,cooling,6,6,0.166667,6,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660,own management skills,management skills,-0.219048,cooling,6,6,0.166667,6,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284,communicate with stakeholders,collaborating and liaising,-0.219048,cooling,6,6,0.166667,6,0,5,0.0,monitor
IT,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,-0.219048,cooling,6,21,0.583333,21,0,0,0.0,current shortage
IT,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",-0.219048,cooling,6,17,0.472222,17,0,0,0.0,current shortage
IT,http://data.europa.eu/esco/skill/5c1e686c-92cc-4bd7-9f23-51f9d8a58886,customise guns,fabricating precision instruments or jewellery,-0.219048,cooling,6,5,0.095411,5,2,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf,negotiate terms with suppliers,negotiating and managing contracts and agreements,-0.219048,cooling,6,5,0.138889,5,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/7d092d81-d1e2-4c34-b3cb-c1c9f2e68b7d,finish project within budget,"organising, planning and scheduling work and activities",-0.219048,cooling,6,5,0.138889,5,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a,issue sales invoices,executing financial transactions,-0.219048,cooling,6,5,0.138889,5,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,-0.219048,cooling,6,5,0.11715,5,1,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,data warehouse,database and network design and administration,-0.219048,cooling,6,5,0.095411,5,2,3,0.0,monitor
IT,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques,management and administration,-0.219048,cooling,6,5,0.138889,5,0,2,0.0,monitor
IT,http://data.europa.eu/esco/skill/ed1fbdc3-1071-423c-9bb4-e3288ca6d1fe,hardware components suppliers,wholesale and retail sales,-0.219048,cooling,6,5,0.138889,5,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/d83cba15-8511-4d07-b89a-9fde0d1d8241,perform quality audits,management skills,-0.219048,cooling,6,5,0.138889,5,0,1,0.0,monitor
IT,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,-0.219048,cooling,6,5,0.138889,5,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/a6532ae5-efc4-4ca4-b172-c11471940d09,electronic business,inter-disciplinary programmes and qualifications involving information and communication technologies (icts),-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a,market analysis,marketing and advertising,-0.219048,cooling,6,4,0.111111,4,0,1,0.0,monitor
IT,http://data.europa.eu/esco/skill/f7f56b20-8f05-4731-a1bf-79fdcffc72ce,check deliveries on receipt,executing financial transactions,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/54660948-b811-49a9-874c-bf2be5f280a2,satisfy technical requirements,designing systems and products,-0.219048,cooling,6,4,0.111111,4,0,1,0.0,monitor
IT,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,operate cash register,executing financial transactions,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/c09c5786-a479-46de-b0aa-d5d2d8ccc123,manage customer service,directing operational activities,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84,manage maintenance operations,directing operational activities,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,resolving computer problems,-0.124444,cooling,5,7,0.291667,7,0,0,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,-0.188889,cooling,5,10,0.416667,10,0,0,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,-0.253333,cooling,5,13,0.526741,13,1,0,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,-0.253333,cooling,5,10,0.416667,10,0,1,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,-0.253333,cooling,5,10,0.416667,10,0,1,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,-0.253333,cooling,5,8,0.333333,8,0,0,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,-0.253333,cooling,5,8,0.333333,8,0,0,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,e-procurement,wholesale and retail sales,-0.253333,cooling,5,8,0.333333,8,0,0,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",-0.253333,cooling,5,8,0.333333,8,0,0,0.0,current shortage
IT,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,think innovatively,thinking creatively and innovatively,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/e8bd4f15-c928-463c-8454-5a7d99dd9926,direct customers to merchandise,selling products or services,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/0ba7e293-4665-4c8b-86fa-c1a4b1daee12,place orders for computer products,purchasing goods or services,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6,business analysis,management and administration,-0.219048,cooling,6,4,0.111111,4,0,1,0.0,monitor
