domain,skill_uri,skill_label,capability_family,demand_count,supply_count,course_count,demand_frequency,supply_frequency,course_frequency,gap_score,trend_score,relevance_index,bubble_size,portfolio_quadrant
IT,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,21,0,0,0.583333,0.0,0.0,0.583333,-0.219048,0.408333,80,critical shortage
IT,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",17,0,0,0.472222,0.0,0.0,0.472222,-0.219048,0.330556,80,critical shortage
IT,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",11,0,1,0.305556,0.0,0.066667,0.305556,-0.219048,0.220556,92,critical shortage
IT,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,database,database and network design and administration,1,4,12,0.027778,0.086957,0.8,0.0,0.0,0.1925,224,training ahead of demand
IT,http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389,deliver visual presentation of data,presenting research or technical information,0,2,12,0.0,0.043478,0.8,0.0,0.0,0.18,224,training ahead of demand
IT,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,9,0,0,0.25,0.0,0.0,0.25,-0.237857,0.175,80,critical shortage
IT,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,9,0,0,0.25,0.0,0.0,0.25,-0.219048,0.175,80,critical shortage
IT,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,9,0,0,0.25,0.0,0.0,0.25,-0.219048,0.175,80,critical shortage
IT,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),using digital tools for collaboration and productivity,5,40,15,0.138889,0.869565,1.0,0.0,-0.181429,0.171786,260,training ahead of demand
IT,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,software and applications development and analysis,2,34,7,0.055556,0.73913,0.466667,0.0,0.0,0.171667,164,training ahead of demand
IT,http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42,coordinate security,maintaining and enforcing physical security,2,14,7,0.055556,0.304348,0.466667,0.0,0.0,0.171667,164,training ahead of demand
IT,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",9,1,0,0.25,0.021739,0.0,0.228261,-0.219048,0.169565,80,critical shortage
IT,http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940,participate in training sessions,practising sports,2,0,4,0.055556,0.0,0.266667,0.055556,0.0,0.165556,128,training ahead of demand
IT,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,8,0,1,0.222222,0.0,0.066667,0.222222,-0.219048,0.162222,92,balanced
IT,http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77,production processes,"engineering, manufacturing and construction not elsewhere classified",3,1,1,0.083333,0.021739,0.066667,0.061594,0.0,0.159565,92,balanced
IT,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements,engaging with others to identify needs,3,1,1,0.083333,0.021739,0.066667,0.061594,0.0,0.159565,92,balanced
IT,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,make decisions,taking a proactive approach,2,0,3,0.055556,0.0,0.2,0.055556,0.0,0.158889,116,balanced
IT,http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1,file documents,managing information,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,accounting entries,accounting and taxation,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/2636b3d3-843e-46a9-8b4c-a9d6ca3f5a2d,provide technical documentation,performing general clerical and administrative tasks,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/a1c72d66-3671-4a8e-840d-e8b28e237b6f,pharmaceutical industry,pharmacy,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/1b957e3d-0017-42b0-9bfe-49a1cdd31de7,teach writing,teaching academic or vocational subjects,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/2a2fa8e8-aaf3-4abf-a60b-af6415f1c6d4,strive for company growth,"developing financial, business or marketing plans",3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
