domain,profile_id,source,source_id,location,candidate_score,matched_skill_count,matched_skills,matched_skill_labels,missing_priority_skills,missing_priority_skill_labels
Education,317,stack-earthscience,94,Germany,0.082351,2,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24 | http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,climatology | Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | innovation processes
Education,23,stack-stackoverflow,476,Germany,0.067669,2,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42,Python (computer programming) | coordinate security,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,638,stack-physics,1236,Czech Republic,0.044762,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | innovation processes
Education,646,stack-physics,1492,Greece,0.044762,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | innovation processes
Education,161,stack-physics,184,"Warsaw, Poland",0.037589,1,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,193,stack-biology,129,"Warsaw, Poland",0.037589,1,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,255,stack-philosophy,37,"Wroclaw, Poland",0.037589,1,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,304,stack-linguistics,695,"Warsaw, Poland",0.037589,1,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,592,stack-math,1988,Germany,0.037589,1,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,455,stack-sports,364,"Lund, Sweden",0.030256,1,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,127,stack-electronics,1240,"Ludwigshafen am Rhein, Germany",0.03008,1,http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42,coordinate security,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,378,stack-law,1185,"Düsseldorf, Germany",0.03008,1,http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42,coordinate security,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
Education,540,stack-stackoverflow,2238,Finland,0.03008,1,http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42,coordinate security,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,monitor developments in field of expertise | digital curation | process booking | make reservations | arrange bookings | respond to inquiries in written form | sell tourist packages | crowdsourcing strategy | solve technical problems | climatology
