domain,skill_uri,skill_label,capability_family,demand_count,supply_count,course_count,demand_frequency,supply_frequency,course_frequency,gap_score,trend_score,relevance_index
Education,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,18,0,0,0.62069,0.0,0.0,0.62069,-0.313333,0.434483
Education,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",15,0,0,0.517241,0.0,0.0,0.517241,-0.313333,0.362069
Education,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",12,0,0,0.413793,0.0,0.0,0.413793,-0.313333,0.289655
Education,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,11,0,0,0.37931,0.0,0.0,0.37931,-0.313333,0.265517
Education,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,10,0,0,0.344828,0.0,0.0,0.344828,-0.313333,0.241379
Education,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,9,0,0,0.310345,0.0,0.0,0.310345,-0.313333,0.217241
Education,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,8,0,0,0.275862,0.0,0.0,0.275862,-0.093333,0.246437
Education,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs,engaging with others to identify needs,8,0,0,0.275862,0.0,0.0,0.275862,-0.313333,0.193103
Education,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,8,1,0,0.275862,0.028571,0.0,0.247291,-0.313333,0.185961
Education,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",7,0,1,0.241379,0.0,0.076923,0.241379,-0.313333,0.176658
Education,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,7,0,0,0.241379,0.0,0.0,0.241379,-0.313333,0.168966
Education,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,resolving computer problems,6,0,0,0.206897,0.0,0.0,0.206897,0.084444,0.28705
Education,http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660,own management skills,management skills,6,0,1,0.206897,0.0,0.076923,0.206897,-0.313333,0.15252
Education,http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77,production processes,"engineering, manufacturing and construction not elsewhere classified",6,0,1,0.206897,0.0,0.076923,0.206897,-0.313333,0.15252
Education,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,6,0,0,0.206897,0.0,0.0,0.206897,-0.313333,0.144828
Education,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,e-procurement,wholesale and retail sales,6,0,0,0.206897,0.0,0.0,0.206897,-0.313333,0.144828
Education,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,6,0,0,0.206897,0.0,0.0,0.206897,-0.313333,0.144828
Education,http://data.europa.eu/esco/skill/5a0bffcf-4ff6-49cf-a7db-4142e63f5f04,answer incoming calls,providing information to the public and clients,6,0,0,0.206897,0.0,0.0,0.206897,-0.313333,0.144828
Education,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,entering and transforming information,5,0,0,0.172414,0.0,0.0,0.172414,0.188889,0.315134
Education,http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab,security engineering,engineering and engineering trades not elsewhere classified,5,0,1,0.172414,0.0,0.076923,0.172414,-0.313333,0.128382
Education,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,keep an open mind,demonstrating willingness to learn,5,0,0,0.172414,0.0,0.0,0.172414,-0.313333,0.12069
Education,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,developing professional relationships or networks,4,0,0,0.137931,0.0,0.0,0.137931,0.293333,0.296552
Education,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,selling products or services,4,0,0,0.137931,0.0,0.0,0.137931,0.313333,0.296552
Education,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,performing general clerical and administrative tasks,4,0,0,0.137931,0.0,0.0,0.137931,0.293333,0.296552
Education,http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,make reservations,accompanying and welcoming people,4,0,0,0.137931,0.0,0.0,0.137931,0.293333,0.296552
Education,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,"promote ideas, products, services ",communicating,4,0,2,0.137931,0.0,0.153846,0.137931,-0.313333,0.111936
Education,http://data.europa.eu/esco/skill/d83cba15-8511-4d07-b89a-9fde0d1d8241,perform quality audits,management skills,4,0,1,0.137931,0.0,0.076923,0.137931,-0.313333,0.104244
Education,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,accounting entries,accounting and taxation,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/2945dc58-5b5c-4023-97ee-34ec05905b81,check in luggage,marking materials or objects for identification,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081,manage standard enterprise resource planning system,"managing, gathering and storing digital data",4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/0ba7e293-4665-4c8b-86fa-c1a4b1daee12,place orders for computer products,purchasing goods or services,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/68aefa78-9a8c-4d5f-879a-abcfe1cd464f,adhere to health well-being and safety,complying with health and safety procedures,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/4b3138e1-c09e-4c5c-a13c-8d533747a1c3,use X-ray machines,operating audio-visual equipment,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,operate cash register,executing financial transactions,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/e8bd4f15-c928-463c-8454-5a7d99dd9926,direct customers to merchandise,selling products or services,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/7b1ab171-caed-4561-89e4-b214396b1ae8,pharmaceutical technology,pharmacy,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/f7f56b20-8f05-4731-a1bf-79fdcffc72ce,check deliveries on receipt,executing financial transactions,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8,prospect new customers,developing professional relationships or networks,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a,issue sales invoices,executing financial transactions,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,ensure compliance with company regulations,ensuring compliance with legislation,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/78d90f00-5226-44fc-95c2-0d8dac6b081b,technology education,teacher training with subject specialisation,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/44985078-6f4c-42b2-bceb-a37ea224b21d,manage difficult clients,engaging with others to identify needs,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/e2fea4d5-f1f4-4dea-89bb-43b1d07658af,statistical quality control,statistics,4,0,0,0.137931,0.0,0.0,0.137931,-0.313333,0.096552
Education,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements,engaging with others to identify needs,4,1,1,0.137931,0.028571,0.076923,0.10936,-0.313333,0.097101
Education,http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8,scientific research methodology,education science,4,1,0,0.137931,0.028571,0.0,0.10936,-0.313333,0.089409
Education,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques,management and administration,3,0,2,0.103448,0.0,0.153846,0.103448,0.0,0.187798
