domain,skill_uri,skill_label,capability_family,demand_count,supply_count,course_count,demand_frequency,supply_frequency,course_frequency,gap_score,trend_score,relevance_index
Green Energy,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",13,0,0,0.5,0.0,0.0,0.5,-1.0,0.35
Green Energy,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,13,0,0,0.5,0.0,0.0,0.5,-1.0,0.35
Green Energy,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",11,0,0,0.423077,0.0,0.0,0.423077,-1.0,0.296154
Green Energy,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,11,0,0,0.423077,0.0,0.0,0.423077,-1.0,0.296154
Green Energy,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,9,0,1,0.346154,0.0,0.1,0.346154,-1.0,0.252308
Green Energy,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,8,0,0,0.307692,0.0,0.0,0.307692,-1.0,0.215385
Green Energy,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,8,0,0,0.307692,0.0,0.0,0.307692,-1.0,0.215385
Green Energy,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,7,0,1,0.269231,0.0,0.1,0.269231,-0.833333,0.198462
Green Energy,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs,engaging with others to identify needs,7,0,0,0.269231,0.0,0.0,0.269231,-1.0,0.188462
Green Energy,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,e-procurement,wholesale and retail sales,7,0,0,0.269231,0.0,0.0,0.269231,-1.0,0.188462
Green Energy,http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a,issue sales invoices,executing financial transactions,6,0,0,0.230769,0.0,0.0,0.230769,-1.0,0.161538
Green Energy,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",6,0,0,0.230769,0.0,0.0,0.230769,-1.0,0.161538
