domain,skill_uri,skill_label,capability_family,demand_count,supply_count,course_count,demand_frequency,supply_frequency,course_frequency,gap_score,trend_score,relevance_index
Green Energy,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",13,0,0,0.5,0.0,0.0,0.5,-1.0,0.35
Green Energy,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,13,0,0,0.5,0.0,0.0,0.5,-1.0,0.35
Green Energy,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",11,0,0,0.423077,0.0,0.0,0.423077,-1.0,0.296154
Green Energy,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,11,0,0,0.423077,0.0,0.0,0.423077,-1.0,0.296154
Green Energy,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,9,0,1,0.346154,0.0,0.1,0.346154,-1.0,0.252308
Green Energy,http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84,manage maintenance operations,directing operational activities,2,0,9,0.076923,0.0,0.9,0.076923,0.0,0.243846
Green Energy,http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9,laboratory equipment,chemistry,2,6,10,0.076923,0.222222,1.0,0.0,0.0,0.234615
Green Energy,http://data.europa.eu/esco/skill/93a68dcb-3dc6-4dbe-b196-f6d212228a50,promote health and safety,advising on workplace health and safety issues,2,8,9,0.076923,0.296296,0.9,0.0,0.0,0.224615
Green Energy,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,protect the health of others,applying health-related skills and competences,1,0,9,0.038462,0.0,0.9,0.038462,0.0,0.216923
Green Energy,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,8,0,0,0.307692,0.0,0.0,0.307692,-1.0,0.215385
Green Energy,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,8,0,0,0.307692,0.0,0.0,0.307692,-1.0,0.215385
Green Energy,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,7,0,1,0.269231,0.0,0.1,0.269231,-0.833333,0.198462
