domain,profile_id,source,source_id,location,candidate_score,matched_skill_count,matched_skills,matched_skill_labels,missing_priority_skills,missing_priority_skill_labels
IT,14,stack-stackoverflow,260,"Budapest, Hungary",0.14839,4,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,Python (computer programming) | coordinate security | SQL | crowdsourcing strategy,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940 | http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | participate in training sessions | sales activities
IT,23,stack-stackoverflow,476,Germany,0.146223,4,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742 | http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,Python (computer programming) | coordinate security | SQL | interact with users to gather requirements,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | crowdsourcing strategy | participate in training sessions
IT,3,stack-stackoverflow,86,Denmark,0.111641,3,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,Python (computer programming) | coordinate security | SQL,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | crowdsourcing strategy | participate in training sessions
IT,4,stack-stackoverflow,95,Poland,0.111641,3,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,Python (computer programming) | coordinate security | SQL,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | crowdsourcing strategy | participate in training sessions
IT,39,stack-stackoverflow,917,"Munich, Germany",0.111641,3,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,Python (computer programming) | coordinate security | SQL,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7 | http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | crowdsourcing strategy | participate in training sessions
IT,12,stack-stackoverflow,170,"Dublin, Ireland",0.078951,2,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,database | Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,monitor developments in field of expertise | digital curation | think analytically | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | coordinate security | SQL | crowdsourcing strategy
IT,161,stack-physics,184,"Warsaw, Poland",0.076242,2,http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,deliver visual presentation of data | Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,monitor developments in field of expertise | digital curation | think analytically | database | provide high quality customer service | accounting | consult with business clients | coordinate security | SQL | crowdsourcing strategy
IT,193,stack-biology,129,"Warsaw, Poland",0.076242,2,http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,deliver visual presentation of data | Python (computer programming),http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,monitor developments in field of expertise | digital curation | think analytically | database | provide high quality customer service | accounting | consult with business clients | coordinate security | SQL | crowdsourcing strategy
IT,29,stack-stackoverflow,720,"Karlsruhe, Baden-Wurttemberg Germany",0.074436,2,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,Python (computer programming) | SQL,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | coordinate security | crowdsourcing strategy
IT,31,stack-stackoverflow,834,Germany,0.074436,2,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d | http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,Python (computer programming) | SQL,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e | http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3 | http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137 | http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576 | http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b | http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d | http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42 | http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | provide high quality customer service | accounting | consult with business clients | coordinate security | crowdsourcing strategy
