domain,skill_uri,skill_label,capability_family,demand_count,supply_count,course_count,demand_frequency,supply_frequency,course_frequency,gap_score,trend_score,relevance_index
IT,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,21,0,0,0.583333,0.0,0.0,0.583333,-0.219048,0.408333
IT,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",17,0,0,0.472222,0.0,0.0,0.472222,-0.219048,0.330556
IT,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",11,0,1,0.305556,0.0,0.066667,0.305556,-0.219048,0.220556
IT,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,9,0,0,0.25,0.0,0.0,0.25,-0.237857,0.175
IT,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,9,0,0,0.25,0.0,0.0,0.25,-0.219048,0.175
IT,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,9,0,0,0.25,0.0,0.0,0.25,-0.219048,0.175
IT,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",9,1,0,0.25,0.021739,0.0,0.228261,-0.219048,0.169565
IT,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,8,0,1,0.222222,0.0,0.066667,0.222222,-0.219048,0.162222
IT,http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081,manage standard enterprise resource planning system,"managing, gathering and storing digital data",8,0,0,0.222222,0.0,0.0,0.222222,-0.219048,0.155556
IT,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,8,0,0,0.222222,0.0,0.0,0.222222,-0.219048,0.155556
IT,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,8,0,0,0.222222,0.0,0.0,0.222222,-0.219048,0.155556
IT,http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284,communicate with stakeholders,collaborating and liaising,6,0,5,0.166667,0.0,0.333333,0.166667,-0.219048,0.15
IT,http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8,prospect new customers,developing professional relationships or networks,6,0,0,0.166667,0.0,0.0,0.166667,-0.219048,0.116667
IT,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,ensure compliance with company regulations,ensuring compliance with legislation,6,0,0,0.166667,0.0,0.0,0.166667,-0.219048,0.116667
IT,http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660,own management skills,management skills,6,0,0,0.166667,0.0,0.0,0.166667,-0.219048,0.116667
IT,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,6,0,0,0.166667,0.0,0.0,0.166667,-0.219048,0.116667
IT,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs,engaging with others to identify needs,6,0,0,0.166667,0.0,0.0,0.166667,-0.219048,0.116667
IT,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques,management and administration,5,0,2,0.138889,0.0,0.133333,0.138889,-0.219048,0.110556
IT,http://data.europa.eu/esco/skill/d83cba15-8511-4d07-b89a-9fde0d1d8241,perform quality audits,management skills,5,0,1,0.138889,0.0,0.066667,0.138889,-0.219048,0.103889
IT,http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf,negotiate terms with suppliers,negotiating and managing contracts and agreements,5,0,0,0.138889,0.0,0.0,0.138889,-0.219048,0.097222
IT,http://data.europa.eu/esco/skill/ed1fbdc3-1071-423c-9bb4-e3288ca6d1fe,hardware components suppliers,wholesale and retail sales,5,0,0,0.138889,0.0,0.0,0.138889,-0.219048,0.097222
IT,http://data.europa.eu/esco/skill/7d092d81-d1e2-4c34-b3cb-c1c9f2e68b7d,finish project within budget,"organising, planning and scheduling work and activities",5,0,0,0.138889,0.0,0.0,0.138889,-0.219048,0.097222
IT,http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a,issue sales invoices,executing financial transactions,5,0,0,0.138889,0.0,0.0,0.138889,-0.219048,0.097222
IT,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,5,0,0,0.138889,0.0,0.0,0.138889,-0.219048,0.097222
IT,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,5,1,0,0.138889,0.021739,0.0,0.11715,-0.219048,0.091787
IT,http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a,market analysis,marketing and advertising,4,0,1,0.111111,0.0,0.066667,0.111111,-0.219048,0.084444
IT,http://data.europa.eu/esco/skill/54660948-b811-49a9-874c-bf2be5f280a2,satisfy technical requirements,designing systems and products,4,0,1,0.111111,0.0,0.066667,0.111111,-0.219048,0.084444
IT,http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6,business analysis,management and administration,4,0,1,0.111111,0.0,0.066667,0.111111,-0.219048,0.084444
IT,http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84,manage maintenance operations,directing operational activities,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,think innovatively,thinking creatively and innovatively,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265,manage sales teams,supervising a team or group,4,0,0,0.111111,0.0,0.0,0.111111,-0.280635,0.077778
IT,http://data.europa.eu/esco/skill/f7f56b20-8f05-4731-a1bf-79fdcffc72ce,check deliveries on receipt,executing financial transactions,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,operate cash register,executing financial transactions,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/c09c5786-a479-46de-b0aa-d5d2d8ccc123,manage customer service,directing operational activities,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/a6532ae5-efc4-4ca4-b172-c11471940d09,electronic business,inter-disciplinary programmes and qualifications involving information and communication technologies (icts),4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/0ba7e293-4665-4c8b-86fa-c1a4b1daee12,place orders for computer products,purchasing goods or services,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/75b30aeb-34c0-40f4-b77d-271d75a98b14,improve business processes,developing operational policies and procedures,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/0ee7b0d6-db98-4785-9948-f2ef415d155a,write research proposals,technical or academic writing,4,0,0,0.111111,0.0,0.0,0.111111,-0.280635,0.077778
IT,http://data.europa.eu/esco/skill/1af2db15-2af9-44dd-9639-bf1fc69d4c34,manage relationships with stakeholders,collaborating and liaising,4,0,0,0.111111,0.0,0.0,0.111111,-0.280635,0.077778
IT,http://data.europa.eu/esco/skill/e8bd4f15-c928-463c-8454-5a7d99dd9926,direct customers to merchandise,selling products or services,4,0,0,0.111111,0.0,0.0,0.111111,-0.219048,0.077778
IT,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,4,0,0,0.111111,0.0,0.0,0.111111,-0.269206,0.077778
IT,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,data warehouse,database and network design and administration,5,2,3,0.138889,0.043478,0.2,0.095411,-0.219048,0.106353
IT,http://data.europa.eu/esco/skill/5c1e686c-92cc-4bd7-9f23-51f9d8a58886,customise guns,fabricating precision instruments or jewellery,5,2,0,0.138889,0.043478,0.0,0.095411,-0.219048,0.086353
IT,http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1,file documents,managing information,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333
IT,http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,accounting entries,accounting and taxation,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333
IT,http://data.europa.eu/esco/skill/2636b3d3-843e-46a9-8b4c-a9d6ca3f5a2d,provide technical documentation,performing general clerical and administrative tasks,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333
IT,http://data.europa.eu/esco/skill/a1c72d66-3671-4a8e-840d-e8b28e237b6f,pharmaceutical industry,pharmacy,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333
IT,http://data.europa.eu/esco/skill/1b957e3d-0017-42b0-9bfe-49a1cdd31de7,teach writing,teaching academic or vocational subjects,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333
