domain,skill_uri,skill_label,capability_family,trend_score,trend_label,months_observed,total_monthly_mentions
IT,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2,mathematics,mathematics,-0.109524,cooling,6,3
IT,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,software and applications development and analysis,-0.126667,cooling,6,3
IT,http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b,provide user documentation,technical or academic writing,-0.172857,cooling,6,5
IT,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),using digital tools for collaboration and productivity,-0.181429,cooling,6,5
IT,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,-0.219048,cooling,6,21
IT,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",-0.219048,cooling,6,17
IT,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",-0.219048,cooling,6,11
IT,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",-0.219048,cooling,6,9
IT,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,-0.219048,cooling,6,9
IT,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,-0.219048,cooling,6,9
IT,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,-0.219048,cooling,6,8
IT,http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081,manage standard enterprise resource planning system,"managing, gathering and storing digital data",-0.219048,cooling,6,8
IT,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,-0.219048,cooling,6,8
IT,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,-0.219048,cooling,6,8
IT,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,perform project management,"directing, supervising and coordinating projects",-0.219048,cooling,6,7
IT,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs,engaging with others to identify needs,-0.219048,cooling,6,6
IT,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,ensure compliance with company regulations,ensuring compliance with legislation,-0.219048,cooling,6,6
IT,http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8,prospect new customers,developing professional relationships or networks,-0.219048,cooling,6,6
IT,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,-0.219048,cooling,6,6
IT,http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660,own management skills,management skills,-0.219048,cooling,6,6
IT,http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284,communicate with stakeholders,collaborating and liaising,-0.219048,cooling,6,6
IT,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/5b26f08b-88bc-45f0-b901-530d7786466b,scientific computing,inter-disciplinary programmes and qualifications involving information and communication technologies (icts),-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/d83cba15-8511-4d07-b89a-9fde0d1d8241,perform quality audits,management skills,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/ed1fbdc3-1071-423c-9bb4-e3288ca6d1fe,hardware components suppliers,wholesale and retail sales,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques,management and administration,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,data warehouse,database and network design and administration,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a,issue sales invoices,executing financial transactions,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/7d092d81-d1e2-4c34-b3cb-c1c9f2e68b7d,finish project within budget,"organising, planning and scheduling work and activities",-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf,negotiate terms with suppliers,negotiating and managing contracts and agreements,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/5c1e686c-92cc-4bd7-9f23-51f9d8a58886,customise guns,fabricating precision instruments or jewellery,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/db27065e-3c06-4f89-aa55-48fd87dabf82,study a collection,conducting academic or market research,-0.219048,cooling,6,5
IT,http://data.europa.eu/esco/skill/2a0efd9a-4a60-4edc-8561-f2754d24eeb8,mathematical economics,economics,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,operate cash register,executing financial transactions,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/f7f56b20-8f05-4731-a1bf-79fdcffc72ce,check deliveries on receipt,executing financial transactions,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9,laboratory equipment,chemistry,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6,business analysis,management and administration,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/75b30aeb-34c0-40f4-b77d-271d75a98b14,improve business processes,developing operational policies and procedures,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/54660948-b811-49a9-874c-bf2be5f280a2,satisfy technical requirements,designing systems and products,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/a6532ae5-efc4-4ca4-b172-c11471940d09,electronic business,inter-disciplinary programmes and qualifications involving information and communication technologies (icts),-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a,market analysis,marketing and advertising,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,think innovatively,thinking creatively and innovatively,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84,manage maintenance operations,directing operational activities,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/0ba7e293-4665-4c8b-86fa-c1a4b1daee12,place orders for computer products,purchasing goods or services,-0.219048,cooling,6,4
IT,http://data.europa.eu/esco/skill/e8bd4f15-c928-463c-8454-5a7d99dd9926,direct customers to merchandise,selling products or services,-0.219048,cooling,6,4
