domain,profile_id,source,source_id,location,candidate_score,matched_skill_count,matched_skills,matched_skill_labels,missing_priority_skills,missing_priority_skill_labels
Tourism,1227,stack-law,4570,"Baden-Wüttemberg, Germany",0.060241,1,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | arrange bookings | respond to inquiries in written form | make reservations | process booking | accounting
Tourism,315,stack-earthscience,87,"Berlin, Germany",0.047576,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | arrange bookings | respond to inquiries in written form | make reservations | process booking | accounting
Tourism,317,stack-earthscience,94,Germany,0.047576,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | arrange bookings | respond to inquiries in written form | make reservations | process booking | accounting
Tourism,638,stack-physics,1236,Czech Republic,0.047576,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | arrange bookings | respond to inquiries in written form | make reservations | process booking | accounting
Tourism,646,stack-physics,1492,Greece,0.047576,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | arrange bookings | respond to inquiries in written form | make reservations | process booking | accounting
Tourism,783,stack-earthscience,2613,"Lisbon, Portugal",0.047576,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,sales activities | sell tourist packages | build team spirit | provide high quality customer service | process payments | arrange bookings | respond to inquiries in written form | process booking | make reservations | accounting
Tourism,1842,stack-physics,4962,Denmark,0.047576,1,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | arrange bookings | respond to inquiries in written form | make reservations | process booking | accounting
Tourism,378,stack-law,1185,"Düsseldorf, Germany",0.038847,1,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | arrange bookings | respond to inquiries in written form | make reservations | process booking
Tourism,1290,stack-sports,4870,"Karlsruhe, Germany",0.031563,1,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | arrange bookings | respond to inquiries in written form | make reservations | process booking
Tourism,1689,stack-sports,9337,"Arras, France",0.031563,1,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,sales activities | sell tourist packages | build team spirit | provide high quality customer service | process payments | climatology | arrange bookings | respond to inquiries in written form | process booking | make reservations
Tourism,1293,stack-sports,6039,"Dublin, Ireland",0.030448,1,http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9,laboratory equipment,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d | http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450 | http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3 | http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca | http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23 | http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24 | http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e | http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6 | http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333 | http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,sales activities | sell tourist packages | build team spirit | provide high quality customer service | process payments | climatology | arrange bookings | respond to inquiries in written form | process booking | make reservations
