domain,skill_uri,skill_label,capability_family,demand_count,supply_count,course_count,demand_frequency,supply_frequency,course_frequency,gap_score,trend_score,relevance_index
Tourism,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,13,1,0,0.541667,0.014925,0.0,0.526741,-0.253333,0.375435
Tourism,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,selling products or services,5,0,3,0.208333,0.0,0.166667,0.208333,0.13,0.3275
Tourism,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,10,0,0,0.416667,0.0,0.0,0.416667,-0.188889,0.297222
Tourism,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,10,0,1,0.416667,0.0,0.055556,0.416667,-0.253333,0.297222
Tourism,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,10,0,1,0.416667,0.0,0.055556,0.416667,-0.253333,0.297222
Tourism,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,earth sciences,4,6,1,0.166667,0.089552,0.055556,0.077114,0.193333,0.296501
Tourism,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,developing professional relationships or networks,4,0,0,0.166667,0.0,0.0,0.166667,0.128889,0.281111
Tourism,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,performing general clerical and administrative tasks,4,0,0,0.166667,0.0,0.0,0.166667,0.128889,0.281111
Tourism,http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,make reservations,accompanying and welcoming people,5,0,0,0.208333,0.0,0.0,0.208333,0.044444,0.268055
Tourism,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,entering and transforming information,5,0,0,0.208333,0.0,0.0,0.208333,0.044444,0.268055
Tourism,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,5,1,18,0.208333,0.014925,1.0,0.193408,-0.253333,0.242102
Tourism,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,resolving computer problems,7,0,0,0.291667,0.0,0.0,0.291667,-0.124444,0.241945
Tourism,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333
Tourism,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,e-procurement,wholesale and retail sales,8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333
Tourism,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333
Tourism,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333
Tourism,http://data.europa.eu/esco/skill/beeaddc7-fe69-4b97-a286-0bd595432eb9,serve beverages,serving food and drinks,1,0,18,0.041667,0.0,1.0,0.041667,0.0,0.229167
Tourism,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,7,0,2,0.291667,0.0,0.111111,0.291667,-0.253333,0.215278
Tourism,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,7,0,1,0.291667,0.0,0.055556,0.291667,-0.253333,0.209722
Tourism,http://data.europa.eu/esco/skill/81d5b408-e805-4788-8dbd-42f22e8fd199,prepare mixed beverages,preparing food and drinks,1,0,13,0.041667,0.0,0.722222,0.041667,0.0,0.201389
Tourism,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,7,2,0,0.291667,0.029851,0.0,0.261816,-0.253333,0.196704
